handle,tweet_text,tweet_date,tweet_time,image_urls,cleaned_text,processed_text,tier1_category,detailed_category,locations
ZeeNewsEnglish,"The parents of the woman accused of slaughtering her husband alongside her lover said that she “doesn’t deserve to live” and should be “hanged”. 

Read the full story to know more 
https://zeemedia.page.link/UJKD

#Meerut | #MeerutWomen | #MeerutWife | #ZeeNews",2025-03-20,07:14:19,['https://pbs.twimg.com/media/Gmd2hsEWwAAkZUN?format=jpg&name=900x900'],the parents of the woman accused of slaughtering her husband alongside her lover said that she doesnt deserve to live and should be hanged read the full story to know more,parent woman accused slaughtering husband alongside lover said doesnt deserve live hanged read full story know,Crime-related,Murder,[]
ZeeNewsEnglish,Will #Banks Across India Operate 5 Days A Week From April 2025 As Per #RBI Regulation?,2025-03-21,06:12:41,[],will across india operate days a week from april as per regulation,across india operate day week april per regulation,Neutral,,[]
ZeeNewsEnglish,#IndianEconomy Continues To Demonstrate Resilience Amidst Global Volatility: #RBI Report,2025-03-20,10:16:10,[],continues to demonstrate resilience amidst global volatility report,continues demonstrate resilience amidst global volatility report,Achievement-based,Record,[]
ZeeNewsEnglish,"Jan AICPI-IW Drop Ahead Of Expected DA Hike - Good Or Bad News For Govt Staff?

#DaHike | #7thPayCommission | #DearnessAllowance",2025-03-20,10:01:06,[],jan aicpiiw drop ahead of expected da hike good or bad news for govt staff,jan aicpiiw drop ahead expected da hike good bad news govt staff,Achievement-based,Recognition,[]
ZeeNewsEnglish,Modi Govt Moving With Ruthless Approach Against Naxalites: #AmitShah,2025-03-20,09:58:26,[],modi govt moving with ruthless approach against naxalites,modi govt moving ruthless approach naxalites,Crime-related,Assault,[]
ZeeNewsEnglish,"#Mumbai, #Pune RTO Cracks Down On #OlaElectric Stores; 36 E-Scooters Seized",2025-03-20,09:55:09,[],rto cracks down on stores escooters seized,rto crack store escooters seized,Crime-related,Theft,['Mumbai']
ZeeNewsEnglish,#UPI New Rules: UPI Won’t Work On These Mobile Numbers From April 1,2025-03-20,09:47:55,[],new rules upi wont work on these mobile numbers from april,new rule upi wont work mobile number april,Neutral,,[]
ZeeNewsEnglish,,2025-03-20,09:06:52,"['https://pbs.twimg.com/media/GmeQMKBa8AA7dIe?format=jpg&name=small', 'https://pbs.twimg.com/media/GmeQMKKbAAAgZEX?format=jpg&name=small']",,,Neutral,,[]
ZeeNewsEnglish,"धनाश्री वर्मा का क्रिकेटर युजवेंद्र चहल से हुआ तलाक, चहल के वकील Nitin Kumar Gupta ने किया कंफर्म

#YuzvendraChahal #DhanashreeVerma #Divorce #YuzvendraDhanashreeDivorce",2025-03-20,09:33:59,['https://pbs.twimg.com/ext_tw_video_thumb/1902654737025232897/pu/img/KCrHknXX4r3Aq-Hu.jpg'],nitin kumar gupta,nitin kumar gupta,Achievement-based,Innovation,[]
ZeeNewsEnglish,#SouthKorea To Seek Removal From #US List Of 'Sensitive' Nations: Industry Minister,2025-03-20,06:11:56,[],to seek removal from list of sensitive nations industry minister,seek removal list sensitive nation industry minister,Achievement-based,Record,[]
ZeeNewsEnglish,"#MUMBAI | क्रिकेटर युजवेंद्र चहल तलाक की कार्यवाही की सुनवाई के लिए बांद्रा फैमिली कोर्ट पहुंचे

#yuzvendrachahal #dhanashreeverma #Divorce #Court | #ZeeNews",2025-03-20,06:09:32,['https://pbs.twimg.com/ext_tw_video_thumb/1902602936041271302/pu/img/kuJsLiE1_63rByQN.jpg'],,,Neutral,,[]
ZeeNewsEnglish,#YuzvendraChahal Spotted With #RJMahvash Amid Divorce Proceedings - Read,2025-03-20,06:00:38,[],spotted with amid divorce proceedings read,spotted amid divorce proceeding read,Neutral,,[]
ZeeNewsEnglish,Parents Of #Meerut Woman Who Killed Her Husband Want Her To Be Hanged,2025-03-20,05:53:24,[],parents of woman who killed her husband want her to be hanged,parent woman killed husband want hanged,Crime-related,Murder,[]
ZeeNewsEnglish,"मेरठ: पति के टुकड़े करने वाली मुस्कान और साहिल पर फूटा वकीलों का गुस्सा, कोर्ट में जमकर की धुनाई

#Meerut #MuskanRastogi #Saurabh #Crime #Police #Father | #ZeeNews",2025-03-20,05:35:55,['https://pbs.twimg.com/ext_tw_video_thumb/1902594581142892545/pu/img/lnXR4YeSpSfOJoE6.jpg'],,,Neutral,,[]
ZeeNewsEnglish,#SaraTendulkar’s Pink Saree & Golden Gown Look Breaks The Internet,2025-03-20,05:07:15,[],s pink saree golden gown look breaks the internet,pink saree golden gown look break internet,Neutral,,[]
ZeeNewsEnglish,"8 Must-Watch #TamilMovies And Series On Netflix, #ZEE5, Prime Video: 2K Love Story To Vilangu On OTT",2025-03-20,05:06:38,[],mustwatch and series on netflix prime video k love story to vilangu on ott,mustwatch series netflix prime video k love story vilangu ott,Achievement-based,Record,['Netflix']
ZeeNewsEnglish,How To Make #HibiscusOil For Instant #HairGrowth And Nourishment,2025-03-19,12:09:05,[],how to make for instant and nourishment,make instant nourishment,Neutral,,[]
ZeeNewsEnglish,7 Simple Yet Effective Morning #YogaAsanas To Energize Your Day And Improve Flexibility,2025-03-19,12:08:07,[],simple yet effective morning to energize your day and improve flexibility,simple yet effective morning energize day improve flexibility,Neutral,,[]
ZeeNewsEnglish,#SunitaWilliams Returns: Astronaut’s Ancestral Village Over The Moon,2025-03-19,12:02:22,[],returns astronauts ancestral village over the moon,return astronaut ancestral village moon,Neutral,,[]
ZeeNewsEnglish,"When #ManishMalhotra Styled Pop Legend #MichaelJackson In Just 1 Day, DEETS",2025-03-19,12:01:33,[],when styled pop legend in just day deets,styled pop legend day deets,Achievement-based,Discovery,[]
ZeeNewsEnglish,"#SaiyamiKher, #AbhishekBachchan’s 'Ghoomer' Shown At Uzbekistan Film Festival",2025-03-19,12:00:27,[],s ghoomer shown at uzbekistan film festival,ghoomer shown uzbekistan film festival,Neutral,,['Uzbekistan Film Festival']
ZeeNewsEnglish,"Blacklist 1,150 Entities, Disconnect Over 18.8 Lakh Resources",2025-03-19,11:58:35,[],blacklist entities disconnect over lakh resources,blacklist entity disconnect lakh resource,Crime-related,Theft,[]
ZeeNewsEnglish,#Telangana: HC Quashes Drone Case Against #CMRevanthReddy,2025-03-19,11:57:01,[],hc quashes drone case against,hc quashes drone case,Crime-related,Assault,[]
ZeeNewsEnglish,"#UnifiedPensionScheme (#UPS): Can #PrivateSectorEmployees Opt For It? Check Benefits, Eligibility, And Minimum #Pension",2025-03-19,10:39:48,[],can opt for it check benefits eligibility and minimum,opt check benefit eligibility minimum,Neutral,,[]
ZeeNewsEnglish,"संजय निषाद का यूपी पुलिस को लेकर विवादित बयान

उत्तर प्रदेश सरकार के कैबिनेट मंत्री संजय निषाद के बिगड़े बोल सामने आए है. उन्होंने एक सभा को संबोधित करते हुए बोला है कि हम यहां ऐसे ही नहीं पहुंचे हैं 7 दरोगाओं के हाथ पैर तुड़वाकर उसे गड्ढे में फेंकवा कर तब मैं यहां पहुंचा हूं.",2025-03-19,07:43:14,['https://pbs.twimg.com/ext_tw_video_thumb/1902264238858817536/pu/img/8mUJ2gSY9cnI1eOZ.jpg'],,,Neutral,,[]
ZeeNewsEnglish,"इंदौर में रंग पंचमी की धूम, हजारों की भीड़ से आसानी से गुजर गई एंबुलेंस

#Indore #RangPanchami2025 #HoliCelebration | #ZeeNews",2025-03-19,08:12:56,['https://pbs.twimg.com/ext_tw_video_thumb/1902271114673590272/pu/img/8bAw2pxL0AjlH78K.jpg'],,,Neutral,,[]
ZeeNewsEnglish,"सुनीता विलियम्स ने धरती पर की वापसी, अमरोहा में आर्टिस्ट ने चित्र बनाकर किया वेलकम

अंतरिक्ष में 9 महीने फंसे रहने के बाद सुनीता विलियम्स ने धरती पर वापसी कर ली है. इससे पूरे देश में खुशी की लहर है...अब उत्तर प्रदेश के अमरोहा में रहने वाले आर्टिस्ट जुहैब खान ने सुनीता विलियम्स का",2025-03-19,07:07:58,[],,,Neutral,,['अंतरिक्ष']
ZeeNewsEnglish,7 Effective #Yoga Poses To Relieve Bloating And Improve #Digestion,2025-03-19,07:34:41,[],effective poses to relieve bloating and improve,effective pose relieve bloating improve,Neutral,,[]
ZeeNewsEnglish,10 Most Beautiful #NationalParks In Asia: Explore Stunning Landscapes And #Wildlife,2025-03-19,07:33:41,[],most beautiful in asia explore stunning landscapes and,beautiful asia explore stunning landscape,Achievement-based,Discovery,['Asia']
ZeeNewsEnglish,Did #BabarAzam's #NetWorth Take A Hit After #Pakistan's Poor Show In The #ChampionsTrophy2025?,2025-03-19,07:13:55,[],did s take a hit after s poor show in the,take hit poor show,Neutral,,[]
ZeeNewsEnglish,"Latest #OTT And theatrical Releases This Week On Netflix, Prime Video: Officer On Duty, Khakee To Baida",2025-03-19,07:12:26,[],latest and theatrical releases this week on netflix prime video officer on duty khakee to baida,latest theatrical release week netflix prime video officer duty khakee baida,Crime-related,Assault,['Netflix']
ZeeNewsEnglish,"#SunitaWilliams Return: Time, Where & How To Watch Splashdown Live Streaming",2025-03-19,05:18:11,[],return time where how to watch splashdown live streaming,return time watch splashdown live streaming,Neutral,,[]
ZeeNewsEnglish,Remembering #KalpanaChawla: First Woman Of Indian Origin In #Space,2025-03-19,05:16:15,[],remembering first woman of indian origin in,remembering first woman indian origin,Neutral,,[]
ZeeNewsEnglish,"How White House, #ElonMusk Reacted To #SunitaWilliams's Safe Return To Earth?",2025-03-19,05:15:24,[],how white house reacted to s safe return to earth,white house reacted safe return earth,Neutral,,['Earth']
ZeeNewsEnglish,#IPL2025: #BCCI Likely To Ease Family Stay Rule After #ViratKohli’s Criticism,2025-03-19,05:14:35,[],likely to ease family stay rule after s criticism,likely ease family stay rule criticism,Neutral,,[]
ZeeNewsEnglish,#SunitaWilliams Return HIGHLIGHTS: Suni And Butch Back On Earth After 9 Months,2025-03-19,05:13:42,[],return highlights suni and butch back on earth after months,return highlight suni butch back earth month,Achievement-based,Record,[]
ZeeNewsEnglish,#ImtiazAli Hints At ‘Rockstar 2’: 'Never Say Never' – Fans Excited For Possible Sequel,2025-03-19,05:11:56,[],hints at rockstar never say never fans excited for possible sequel,hint rockstar never say never fan excited possible sequel,Achievement-based,Record,[]
ZeeNewsEnglish,"#Horoscope Today, March 19 By #Astrologer | Writes 
@KocharSundeep",2025-03-19,05:10:50,[],today march by writes,today march writes,Achievement-based,Record,[]
ZeeNewsEnglish,#Dolphins Greet #SunitaWilliams As She Returns Home After Space Mission,2025-03-19,04:58:14,[],greet as she returns home after space mission,greet return home space mission,Achievement-based,Record,[]
ZeeNewsEnglish,"Top 7 Reasons To Visit #MadhyaPradesh: History, Wildlife, Temples, And Scenic Beauty",2025-03-18,10:56:28,[],top reasons to visit history wildlife temples and scenic beauty,top reason visit history wildlife temple scenic beauty,Achievement-based,Record,[]
ZeeNewsEnglish,औरंगजेब की कब्र के विवाद को लेकर नागपुर में 17 मार्च की रात जो घटना घटी उसने पूरे महाराष्ट्र को हैरान कर दिया है. कुछ उपद्रवी तत्वों ने खड़ी गाड़ियों को आग के हवाले कर दिया. घरों पर पथराव किया. इस मामले में अब महाराष्ट्र सरकार भी एक्शन मोड में आ गई है. आज डिप्टी सीएम एकनाथ शिंदे,2025-03-18,10:42:58,['https://pbs.twimg.com/ext_tw_video_thumb/1901947054525751296/pu/img/4VYU_sBJ3X43-HCE.jpg'],,,Neutral,,"['दिया', 'दिया']"
ZeeNewsEnglish,,2025-03-18,09:35:57,"['https://pbs.twimg.com/media/GmUDiQBbQAAW0el?format=jpg&name=small', 'https://pbs.twimg.com/media/GmUDiQGagAABzuG?format=jpg&name=small']",,,Neutral,,[]
