handle,tweet_text,tweet_date,tweet_time,image_urls
ZeeNewsEnglish,"7 Things You Should Always Keep Private At Work, As Per #Psychology",2025-04-15,06:47:16,[]
ZeeNewsEnglish,Top 10 #RichestWomen In The World In 2025; Only One Indian #Billionaire Grab Spot In Forbes List,2025-04-15,06:44:59,[]
ZeeNewsEnglish,Top 10 Countries With Highest Vegetarian Population: India's Rank And Percentage Will SURPRISE You!,2025-04-15,04:39:29,[]
ZeeNewsEnglish,Remember #SalmanKhan's Spunky Co-star Seema Aka Pervien Dastur Irani From 'Maine Pyar Kiya'? This Is How She Looks Now,2025-04-15,04:38:13,[]
ZeeNewsEnglish,"#Horoscope Today, April 15 By #Astrologer | 
@KocharSundeep",2025-04-15,04:34:01,[]
ZeeNewsEnglish,"#HanumanJayanti 2025: Shri #HanumanMantras, Aarti, And Complete #HanumanChalisa In English",2025-04-11,11:50:04,[]
ZeeNewsEnglish,"#HanumanJayanti2025: Why Devotees Offer Motichoor Laddoo To #LordHanuman, And How to Make It at Home",2025-04-11,10:28:57,[]
ZeeNewsEnglish,"#NationalPetDay2025: History, Significance, Wishes, Quotes And Amazing #Health Benefits Of Pet Companionship",2025-04-11,10:08:02,[]
ZeeNewsEnglish,#NationalPetDay2025: Celebrity-Pet Moments That Won The Internet And Fans' Hearts,2025-04-11,09:53:58,[]
ZeeNewsEnglish,How Reels And Excess Screen Time Are Damaging Kids' Eyes: Experts Warn Of ‘Reel Vision Syndrome’,2025-04-11,09:53:18,[]
ZeeNewsEnglish,"#HanumanJayanti 2025: Top 5 Powerful Offerings To Please Lord #Hanuman, Bring Good Fortune, And Eliminate Obstacles",2025-04-11,09:43:29,[]
ZeeNewsEnglish,#Kerala DHSE +2 Result 2025: Class 12th Result Likely To Be Released Soon At http://keralaresults.nic.in,2025-04-11,09:42:37,[]
ZeeNewsEnglish,"#Manabadi #APInterResult 2025: BIEAP 1st, 2nd Year Results To Be Released Tomorrow At http://resultsbie.ap.gov.in",2025-04-11,08:19:39,[]
