handle,tweet_text,tweet_date,tweet_time,image_urls
TimesAlgebraIND,Thankyou,2025-02-13,06:52:30,[]
TimesAlgebraIND,BIG BREAKING NEWS  Vishwa Hindu Parishad announces nationwide protests tomorrow for Hindus of West Bengal.,2025-04-18,11:56:35,[]
TimesAlgebraIND,"KAPIL SIBAL : President has no personal right of their own.

""President acts on the authority and advice of the Cabinet""

""I am surprised to see Jagdeep Dhankhar's comments""

""If there is any institution that continues to command the trust of the public across the country, it is",2025-04-18,11:09:24,['https://pbs.twimg.com/media/Go0Cb1lXgAAnyw1?format=jpg&name=900x900']
TimesAlgebraIND,"SHAMEFUL  Congress workers in Patna blocked a railway track & stopped train during their protest over the ED chargesheet against Rahul & Sonia Gandhi in National Herald case

Massive inconvenience caused to public !!

Just imagine, if they win elections",2025-04-18,10:07:56,['https://pbs.twimg.com/amplify_video_thumb/1913143948903886848/img/o8Q_qeTMLwAz9yBW.jpg']
TimesAlgebraIND,SHOCKING  Akhilesh Yadav lost cool on audience. Why is he frustrated?,2025-04-18,09:49:52,['https://pbs.twimg.com/amplify_video_thumb/1913140106472398848/img/oMzae5yfn47vXFlJ.jpg']
TimesAlgebraIND,CM Rekha Gupta meets Seelampur Hindu victim and assures action against Islamic radicals.,2025-04-18,09:25:19,['https://pbs.twimg.com/amplify_video_thumb/1913125423925604352/img/Gtk-Vac-7ISQOq7S.jpg']
TimesAlgebraIND,"APSEZ Acquires 50 MTPA North Queensland Export Terminal in Australia

Adani Ports and Special Economic Zone Ltd. (APSEZ) has approved the acquisition of Abbot Point Port Holdings Pte. Ltd. (APPH) from Carmichael Rail and Port Singapore Holdings Pte. Ltd. (CRPSHPL), a related",2025-04-18,06:27:55,"['https://pbs.twimg.com/media/GozCAJYaYAALiub?format=jpg&name=small', 'https://pbs.twimg.com/media/GozCAKiaMAAFPB2?format=jpg&name=small']"
TimesAlgebraIND,"CJI SANJEEV KHANNA to KAPIL SIBAL : DON'T interrupt 

CJI  : The property declared as Waqf and the registered property should be allowed to remain as before.

KAPIL SIBAL : Write Waqf by user also in your judgement

CJI SANJEEV KHANNA : Beech mein mat boliye. I am getting",2025-04-18,01:37:00,"['https://pbs.twimg.com/media/GoxDs7XaIAA0XJQ?format=jpg&name=small', 'https://pbs.twimg.com/media/GoxDvBobwAE09kj?format=jpg&name=small']"
TimesAlgebraIND,"BIG NEWS  Supreme Court lawyer Reena said Supreme Court has approved Waqf Law 

She said that the court has banned the registration of ONLY those properties which are notified, gazetted or registered.

""Action can be taken against those properties which are not Waqf-by-User",2025-04-17,19:43:44,"['https://pbs.twimg.com/media/GowukVXW0AA2EYK?format=jpg&name=small', 'https://pbs.twimg.com/media/GowukvoX0AAtCDL?format=jpg&name=360x360']"
TimesAlgebraIND,WATCH -,2025-04-17,20:07:56,['https://pbs.twimg.com/ext_tw_video_thumb/1912913014673567744/pu/img/r1rO1zWF3tP7TaWd.jpg']
TimesAlgebraIND,"All top LEFT wing lawyers like Kapil Sibal, Abhishek Manu Singhvi are representing other side.

BJP must be missing Arun Jaitely today.",2025-04-17,18:49:47,[]
TimesAlgebraIND,"BIG NEWS  Advocate Vishnu Shankar Jain questions SC HEARING on Waqf Act 

He said ""Supreme Court gave no interim relief in 140+ Waqf petitions, asked us to go to HCs""

""Temple cases dragged for 13 years in SC, now suddenly shifted to HCs""

""I suggest all Waqf cases be",2025-04-17,15:31:55,"['https://pbs.twimg.com/media/Gov072hb0AAmwpr?format=jpg&name=900x900', 'https://pbs.twimg.com/media/Gov074bbcAAiL56?format=jpg&name=small']"
TimesAlgebraIND,HUGE  Delegation of Dawoodi Bohra community meets PM Modi today to thank him for the Waqf Act,2025-04-17,15:04:16,[]
TimesAlgebraIND,"Rohit Sharma-Travis Head meet today
#SRHvsMI",2025-04-17,13:24:53,['https://pbs.twimg.com/amplify_video_thumb/1912859759125893120/img/IEjWY13x-gCDeRTo.jpg']
TimesAlgebraIND,"BIG BREAKING NEWS  Govt mulls ORDINANCE to counter Supreme Court's verdict.

Review plea in RN Ravi vs Tamil Nadu Govt Case next week.

Govt feels President wasn’t even heard before judgement.

Top-level deliberations already done as per CNN News18 

Supreme Court has set",2025-04-17,14:27:25,"['https://pbs.twimg.com/media/GovmLESbkAAQ7JK?format=jpg&name=small', 'https://pbs.twimg.com/media/GovmLEib0AA9Wp1?format=jpg&name=small']"
TimesAlgebraIND,"ROBERT VADRA : ""If I join the BJP, then BJP's washroom will get cleaned""",2025-04-17,13:20:08,['https://pbs.twimg.com/amplify_video_thumb/1912784877608407040/img/ycYaYQ8okbhuJSWW.jpg']
TimesAlgebraIND,Akhilesh Yadav's temple politics for votes.,2025-04-17,13:00:48,['https://pbs.twimg.com/amplify_video_thumb/1912846963797622784/img/TbxvGx-G7eHSignP.jpg']
TimesAlgebraIND,WATCH -,2025-04-17,08:48:23,['https://pbs.twimg.com/amplify_video_thumb/1912748173140910080/img/0nqyKR_P7S3q9iW9.jpg']
TimesAlgebraIND,"BIG NEWS  Odisha BJP Govt releases Graham Staines murder convict Mahendea Hembram after 25 years.

He was a Bajrang Dal worker and reportedly murdered Staines for involvement in religious conversions.

He was released for good prison behaviour as per rules. 

Vishwa Hindu",2025-04-17,08:24:05,['https://pbs.twimg.com/media/GouTAn9WEAAcB9M?format=jpg&name=900x900']
TimesAlgebraIND,"Will Rahul Gandhi succeed in uprooting from BJP from Gujarat ?

Gujarat Mid Term Opinion Poll TOMORROW, 5 pm 

Follow 
@deepdownanlyz
  for accurate analysis !!

Congress won 1 LS seat in 2024 after scoring 0 twice. 

Congress storming back to power? 

Or BJP going to hold the",2025-04-17,08:19:34,['https://pbs.twimg.com/amplify_video_thumb/1912782392122830849/img/oJQVpeEJ-8y1cVUe.jpg']
TimesAlgebraIND,Delhi CM Rekha Gupta has launched surgical strikes against School Fees Terror.,2025-04-17,08:07:34,[]
TimesAlgebraIND,"EaseMyTrip Responds to ED Search

In response to recent developments, EaseMyTrip has issued an official statement clarifying that one of its offices was among several locations visited by the Enforcement Directorate (ED) as part of a wider investigation involving multiple",2025-04-17,07:51:00,"['https://pbs.twimg.com/media/GouLb9EW8AAu7D9?format=jpg&name=900x900', 'https://pbs.twimg.com/media/GouLb9daYAA6EQJ?format=jpg&name=small']"
TimesAlgebraIND,"SHOCKING NEWS  Meerut man killed by wife & her lover. Wife then staged snakebite drama to cover up crime.

She bought the snake for Rs 1,000 and kept near his body 

Everyone initially believed that he died from a snakebite but postmartem report revealed the truth.

Husband",2025-04-17,06:58:34,['https://pbs.twimg.com/media/Got_cILXwAAN0zi?format=jpg&name=900x900']
TimesAlgebraIND,WATCH -,2025-04-17,07:34:57,[]
TimesAlgebraIND,"DONALD TRUMP : Harvard University teaches Hate

Trump will fix University Politics",2025-04-17,05:49:59,[]
TimesAlgebraIND,"BIG NEWS  Chief Justice of India Sanjiv Khanna names Justice BR Gavai as his successor.

Justice Gavai was part of Historic Article 370 judgement 

He gave its stamp of approval to demonetisation. He will become the 52nd Chief Justice of India.

CJI Sanjeev Khanna will retire",2025-04-17,03:00:00,['https://pbs.twimg.com/media/Gor2aHVWMAAMpgb?format=jpg&name=900x900']
TimesAlgebraIND,"BIG NEWS  Karnataka Governor did not sign bill granting 4% quota for Minorities including Muslims in Government contracts

He sends Bill to the President Droupadi Murmu.

Governor cited “constitutional complexities"" in the amendment bill before forwarding it to the President.",2025-04-17,01:21:00,['https://pbs.twimg.com/media/Gor21JNXUAAaElv?format=jpg&name=900x900']
TimesAlgebraIND,"BIG BREAKING NEWS  Brave driver of the Kashi Vishwanath Express saved many lives today.

2.5-foot-long wooden piece was discovered on the railway track in Lucknow 

It was covered with tree leaves and a cloth placed on the railway track

Fortunately, the driver of the Kashi",2025-04-16,19:32:47,"['https://pbs.twimg.com/media/GoriektWEAAR0P_?format=jpg&name=small', 'https://pbs.twimg.com/media/GoriepsWAAAQb1W?format=jpg&name=small']"
TimesAlgebraIND,"Jairam Ramesh got frustrated with journalist's question

He said ""This is not an interrogation or court room. Ask only 1-2 questions""",2025-04-16,15:50:04,['https://pbs.twimg.com/amplify_video_thumb/1912531737781137408/img/40Ge_26O8Vtvqinw.jpg']
TimesAlgebraIND,BIG NEWS  HM Amit Shah held meeting with JP Nadda. Who will become Next BJP President?,2025-04-16,15:35:48,[]
TimesAlgebraIND,"BIG BREAKING NEWS  All India Muslim Jamaat issues Fatwa against Actor Joseph Vijay.

He is accused by All India Muslim Jamaat.of inviting 'anti-social elements' to Iftar Party.

The organization labels him anti-Muslim.

""Muslims of Tamil Nadu have been told not to trust such",2025-04-16,14:49:06,['https://pbs.twimg.com/media/GoqhjRtWAAAcsCB?format=jpg&name=small']
TimesAlgebraIND,"Mughal emperor descendant Yakub Habeebuddin Tucy writes to UN seeking protection of Aurangzeb's tomb 

He said there has heen hate campaign against his ancestor Aurangzeb.

He says that the grave has been declared a 'Monument of National Importance'

He demands deployment of",2025-04-16,13:43:15,['https://pbs.twimg.com/media/GoqSeMuXwAAXUMx?format=jpg&name=900x900']
TimesAlgebraIND,Japan sees largest drop in population.,2025-04-16,13:22:55,[]
TimesAlgebraIND,"BIG NEWS  21 cops injured after stone pelting by Islamic mob during during demolition of illegal Dargah in Nashik.

HUGE 22 miscreants detained !!

57 motorcycles belonging to suspects have been seized.

Four JCBs, eight dumpers, and seven vehicles demolished the illegal Dargah",2025-04-16,12:25:01,"['https://pbs.twimg.com/media/GoqAkDAXAAE5Ymq?format=jpg&name=900x900', 'https://pbs.twimg.com/media/GoqAkEcW8AAvHDK?format=jpg&name=900x900']"
TimesAlgebraIND,WATCH -,2025-04-16,12:39:37,[]
TimesAlgebraIND,"CSK fans got reminded of old haunted memories 
#IPL2025",2025-04-16,12:01:24,['https://pbs.twimg.com/amplify_video_thumb/1912476361848926208/img/DkpLpvZPsopsPDGN.jpg']
